Customer ID,first_purchase,last_purchase,total_orders,total_items,total_revenue,country,lifespan_days,avg_order_value,cohort_month
12445,2010-10-15 12:28:00,2011-11-17 18:43:00,2,206,434.98,Spain,398,217.49,2010-10
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,351,1002.3100000000001,RSA,0,1002.31,2011-10
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,190,476.49,Belgium,0,476.49,2011-04
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,243,449.45,Spain,0,449.45,2011-10
12449,2010-09-27 09:37:00,2011-11-17 13:46:00,6,2282,4835.89,Belgium,416,805.98,2010-09
12450,2010-08-22 13:11:00,2011-07-06 14:41:00,5,442,688.2,Spain,318,137.64,2010-08
12451,2010-06-28 12:58:00,2011-11-29 08:40:00,8,9359,12669.88,Switzerland,518,1583.74,2010-06
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,185,430.57,Switzerland,0,215.28,2011-11
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,473,707.09,Austria,0,707.09,2011-07
12454,2010-10-14 17:33:00,2011-10-14 17:13:00,5,7703,16679.78,Spain,364,3335.96,2010-10
12455,2009-12-18 12:33:00,2011-09-27 15:31:00,10,3302,5879.95,Cyprus,648,588.0,2009-12
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,1633,3181.04,Switzerland,210,1060.35,2011-03
12457,2010-09-30 17:59:00,2011-10-04 13:13:00,8,1094,2995.91,Switzerland,368,374.49,2010-09
12458,2010-08-09 10:33:00,2011-09-29 15:25:00,4,986,1777.49,Switzerland,416,444.37,2010-08
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,258,454.36,Spain,0,454.36,2010-04
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,170,326.65,Belgium,0,326.65,2010-09
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,287,826.88,Switzerland,60,413.44,2011-07
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,536,1189.59,Spain,284,594.79,2011-02
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,776,1344.78,Belgium,188,336.2,2011-04
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,112,1212.05,Belgium,299,151.51,2011-02
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,479,742.1899999999999,Belgium,152,371.1,2011-06
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,56.73,France,0,56.73,2010-01
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,129,132.8,USA,0,132.8,2010-10
12468,2010-01-26 10:09:00,2011-06-05 11:36:00,5,2201,3670.74,Germany,495,734.15,2010-01
12469,2010-06-21 10:30:00,2010-07-05 12:40:00,2,2552,3070.54,Thailand,14,1535.27,2010-06
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,95,211.95,Unspecified,0,211.95,2010-01
12471,2009-12-07 10:41:00,2011-12-07 15:43:00,79,16858,39918.19,Germany,730,505.29,2009-12
12472,2009-12-14 10:49:00,2011-11-07 14:01:00,19,10378,16249.289999999999,Germany,693,855.23,2009-12
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,2414,3928.0499999999997,Germany,162,785.61,2011-06
12474,2010-02-11 09:41:00,2011-11-22 14:39:00,31,7940,12372.75,Germany,649,399.12,2010-02
12475,2010-10-26 08:49:00,2011-10-17 10:10:00,2,771,1149.64,Germany,356,574.82,2010-10
12476,2010-07-26 09:04:00,2011-11-24 12:40:00,23,5631,14083.91,Germany,486,612.34,2010-07
12477,2010-03-26 14:01:00,2011-11-17 09:51:00,9,6119,20276.37,Germany,600,2252.93,2010-03
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,236,680.99,Greece,0,680.99,2011-12
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,385,527.2,Germany,0,527.2,2011-11
12480,2010-07-20 13:21:00,2011-11-11 14:52:00,7,2952,5464.85,Germany,479,780.69,2010-07
12481,2010-04-11 13:10:00,2011-11-17 08:29:00,15,7158,12185.51,Germany,584,812.37,2010-04
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,27042,23691.4,Sweden,77,816.94,2010-02
12483,2010-01-31 13:28:00,2011-11-22 17:02:00,19,2160,5097.18,Sweden,660,268.27,2010-01
12484,2010-01-27 16:41:00,2011-11-07 11:37:00,12,3266,6354.1,Spain,648,529.51,2010-01
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,414,708.1,Sweden,0,708.1,2010-06
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,523,1037.28,Sweden,0,1037.28,2010-10
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,174,285.29999999999995,Sweden,0,285.3,2009-12
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,529,1298.66,France,65,432.89,2011-09
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,105,334.93,France,0,334.93,2011-01
12490,2009-12-01 12:52:00,2011-12-04 16:07:00,21,5906,9823.64,France,733,467.79,2009-12
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,260,460.40000000000003,France,0,460.4,2011-11
12492,2010-11-01 14:58:00,2011-10-07 15:15:00,3,444,715.21,Germany,340,238.4,2010-11
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,207,433.74,France,31,216.87,2011-05
12494,2010-05-12 13:52:00,2011-11-24 09:34:00,9,979,1815.27,France,560,201.7,2010-05
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,130,357.4,Sweden,0,357.4,2010-03
12496,2010-03-29 13:57:00,2010-03-29 14:06:00,2,30,45.34,Spain,0,22.67,2010-03
12497,2010-03-05 09:39:00,2011-09-19 12:29:00,3,5685,6248.5,Germany,563,2082.83,2010-03
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,159,403.70000000000005,Germany,36,134.57,2011-10
12499,2010-05-28 15:12:00,2010-05-28 15:12:00,1,302,393.72,Germany,0,393.72,2010-05
12500,2010-02-04 15:05:00,2011-11-16 16:20:00,19,3377,5955.21,Germany,650,313.43,2010-02
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,1783,2169.39,Germany,0,2169.39,2011-01
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,820,3723.87,Spain,214,744.77,2011-02
12503,2010-05-04 13:59:00,2010-05-04 13:59:00,1,561,1126.0,Spain,0,1126.0,2010-05
12504,2010-04-22 10:24:00,2011-11-21 16:02:00,4,458,779.05,Germany,578,194.76,2010-04
12505,2010-10-27 09:18:00,2010-10-27 09:18:00,1,324,955.2,Italy,0,955.2,2010-10
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,23,73.5,France,0,73.5,2011-04
12507,2010-05-04 09:23:00,2011-07-28 17:09:00,4,1256,1844.06,Spain,450,461.02,2010-05
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,271,397.88,France,2,198.94,2011-11
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,55,176.5,France,0,176.5,2011-02
12510,2009-12-04 13:47:00,2011-07-20 10:15:00,9,2049,5178.02,Spain,592,575.34,2009-12
12511,2010-10-07 10:39:00,2010-10-07 10:39:00,1,1753,3084.02,Greece,0,3084.02,2010-10
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,96,132.18,Israel,0,66.09,2011-10
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,462,612.29,France,0,612.29,2011-08
12514,2010-03-08 12:18:00,2011-03-17 16:38:00,2,840,1597.76,Italy,374,798.88,2010-03
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,131,383.7,Italy,0,383.7,2010-12
12516,2010-04-19 14:14:00,2011-09-23 09:13:00,4,1952,2648.62,Germany,521,662.16,2010-04
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,1361,2481.6,Germany,161,496.32,2011-06
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,1318,2056.89,Germany,109,411.38,2011-08
12519,2010-08-20 08:21:00,2011-10-07 09:26:00,2,387,716.54,Germany,413,358.27,2010-08
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,1439,2634.26,Germany,194,526.85,2011-03
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,309,599.68,Germany,0,599.68,2011-07
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,194,192.72,Germany,12,96.36,2011-10
12523,2009-12-07 13:46:00,2011-11-20 12:55:00,23,2263,4352.35,France,712,189.23,2009-12
12524,2010-02-08 14:41:00,2011-11-30 15:31:00,17,7178,11126.11,Germany,660,654.48,2010-02
12525,2010-03-02 14:01:00,2010-07-29 16:08:00,3,509,973.73,France,149,324.58,2010-03
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,632,1316.66,Germany,93,438.89,2011-09
12527,2010-06-28 15:37:00,2011-09-19 11:55:00,5,526,735.51,Germany,447,147.1,2010-06
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,756,1933.48,Germany,303,322.25,2011-01
12529,2010-06-29 13:10:00,2010-06-29 13:10:00,1,192,316.48,France,0,316.48,2010-06
12530,2010-03-07 14:37:00,2011-10-11 12:34:00,9,2713,3759.26,Germany,582,417.7,2010-03
12531,2010-01-22 14:17:00,2011-11-25 11:12:00,2,1119,1933.2,Germany,671,966.6,2010-01
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,153,349.83000000000004,France,0,349.83,2011-11
12533,2009-12-01 11:50:00,2010-03-22 10:56:00,2,704,1367.89,Germany,110,683.94,2009-12
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,651,1089.18,Germany,0,1089.18,2011-08
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,219,716.35,France,94,358.18,2011-06
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,2803,12601.830000000002,France,15,4200.61,2011-10
12537,2010-10-27 08:36:00,2010-10-27 08:36:00,1,449,732.94,Sweden,0,732.94,2010-10
12538,2010-11-26 13:02:00,2011-11-10 17:16:00,2,336,640.45,Spain,349,320.23,2010-11
12539,2009-12-23 13:00:00,2011-11-17 13:30:00,7,4535,11214.75,Spain,694,1602.11,2009-12
12540,2009-12-07 16:56:00,2011-11-20 11:31:00,33,11019,22254.49,Spain,712,674.38,2009-12
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,680,981.18,Spain,251,327.06,2011-03
12542,2010-03-09 16:26:00,2010-08-12 19:12:00,2,522,481.88,Spain,156,240.94,2010-03
12543,2010-09-17 15:51:00,2010-09-17 15:51:00,1,688,980.25,Spain,0,980.25,2010-09
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,136,372.7,Spain,0,372.7,2011-11
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,523,1000.39,Spain,184,500.2,2011-03
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,633,1161.5,Spain,31,580.75,2011-09
12547,2010-07-27 13:55:00,2011-05-26 12:38:00,3,309,383.58,Spain,302,127.86,2010-07
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,49,95.19999999999999,Spain,0,95.2,2011-06
12549,2010-01-11 12:29:00,2010-05-13 12:05:00,6,1366,1575.68,USA,121,262.61,2010-01
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,569,964.83,Spain,0,964.83,2011-09
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,100,168.0,Spain,0,168.0,2010-12
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,88,437.82,Italy,0,218.91,2011-10
12553,2010-10-12 13:35:00,2011-12-01 16:38:00,12,2325,4608.75,France,415,384.06,2010-10
12554,2010-09-17 12:29:00,2010-09-17 12:29:00,1,240,468.5,Spain,0,468.5,2010-09
12555,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,129.23,Spain,0,129.23,2010-01
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,355,599.56,Spain,100,299.78,2011-07
12557,2009-12-17 10:39:00,2011-11-23 16:59:00,8,6382,18096.14,Spain,706,2262.02,2009-12
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,196,269.96,USA,0,269.96,2011-12
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,283,561.71,Germany,8,280.86,2011-01
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,1110,2134.01,Germany,137,711.34,2011-07
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,177,238.85,Germany,0,238.85,2011-02
12562,2010-09-30 13:13:00,2011-12-01 17:20:00,9,2327,4966.92,France,427,551.88,2010-09
12563,2010-10-27 09:52:00,2010-10-27 09:52:00,1,113,249.24,Italy,0,249.24,2010-10
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,133,456.9,France,0,456.9,2011-03
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,80,145.92,Saudi Arabia,0,145.92,2011-02
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,265,351.65,Germany,0,351.65,2011-09
12567,2010-02-11 10:30:00,2011-11-17 11:02:00,15,5308,11767.48,France,644,784.5,2010-02
12568,2010-03-05 09:15:00,2010-03-05 09:15:00,1,48,70.0,Germany,0,70.0,2010-03
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,32,1801,4124.69,Germany,250,128.9,2011-04
12570,2010-01-26 17:28:00,2010-01-26 17:28:00,1,1,77.52,Spain,0,77.52,2010-01
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,2,523,519.61,France,81,259.8,2011-08
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,2,452,1020.42,Germany,43,510.21,2011-10
12573,2010-08-31 17:25:00,2011-04-26 15:52:00,5,479,717.41,France,237,143.48,2010-08
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,61,218.45,France,0,218.45,2011-01
12575,2010-07-01 09:15:00,2010-09-08 13:09:00,2,315,622.8199999999999,France,69,311.41,2010-07
12576,2010-07-01 13:46:00,2011-11-04 10:11:00,8,1494,2142.72,Poland,490,267.84,2010-07
12577,2009-12-03 19:31:00,2011-11-04 13:24:00,8,1191,1617.1,France,700,202.14,2009-12
12578,2010-09-22 11:19:00,2011-11-18 13:30:00,4,2380,4642.45,Italy,422,1160.61,2010-09
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,285,440.42,France,0,440.42,2011-09
12580,2010-05-12 11:45:00,2011-04-07 10:24:00,2,569,1052.9,Germany,329,526.45,2010-05
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,161,197.71,Germany,0,197.71,2011-10
12582,2010-05-11 09:55:00,2011-04-15 08:45:00,4,985,1980.4,Finland,338,495.1,2010-05
12583,2009-12-06 11:57:00,2011-12-07 08:07:00,27,8535,13591.58,France,730,503.39,2009-12
12584,2011-03-04 15:15:00,2011-12-06 09:35:00,9,416,2338.15,Italy,276,259.79,2011-03
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,2,1279,2040.1,Germany,117,1020.05,2010-12
12586,2009-12-16 13:15:00,2011-11-22 16:24:00,4,687,2062.67,Italy,706,515.67,2009-12
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,51,144.0,Finland,0,144.0,2011-12
12588,2010-04-21 12:22:00,2011-10-31 15:01:00,4,438,958.78,Finland,558,239.7,2010-04
12589,2010-01-19 12:26:00,2011-11-11 10:19:00,8,1764,4695.66,France,660,586.96,2010-01
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,2,4283,9864.26,Germany,0,4932.13,2011-05
12591,2010-10-27 10:42:00,2011-01-26 14:35:00,3,653,1338.95,Italy,91,446.32,2010-10
12592,2010-07-08 14:06:00,2011-09-08 15:04:00,5,1875,2582.66,Germany,427,516.53,2010-07
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,3,206,418.09999999999997,France,110,139.37,2011-05
12594,2010-03-03 13:51:00,2011-11-02 12:20:00,15,2768,5090.110000000001,Italy,608,339.34,2010-03
12595,2010-07-23 09:10:00,2010-07-23 09:10:00,1,271,299.02,Germany,0,299.02,2010-07
12596,2011-04-11 13:22:00,2011-10-19 13:02:00,2,474,618.27,Spain,190,309.14,2011-04
12597,2011-03-16 14:00:00,2011-11-20 13:33:00,4,2236,3811.22,Spain,248,952.8,2011-03
12598,2010-03-01 09:58:00,2011-11-30 12:18:00,11,2906,4534.09,France,639,412.19,2010-03
12599,2010-05-11 10:42:00,2011-11-10 13:34:00,13,2189,2296.72,France,548,176.67,2010-05
12600,2009-12-07 13:37:00,2011-11-11 10:29:00,21,1383,4967.42,Germany,703,236.54,2009-12
12601,2010-10-31 10:57:00,2011-06-03 10:17:00,6,290,681.26,Germany,214,113.54,2010-10
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,162,153.12,France,0,153.12,2011-10
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,63,739.1999999999999,Germany,0,739.2,2011-11
12604,2011-03-23 12:06:00,2011-09-21 14:08:00,2,201,254.18,France,182,127.09,2011-03
12605,2010-09-07 14:21:00,2010-11-28 14:18:00,4,929,1232.95,Germany,81,308.24,2010-09
